제목,저자,출판사,발행일,정가,판매가,리뷰 수,판매지수,상세 정보,설명,상세 페이지 URL
AI 프롬프트 의미 설계,김한성,커뮤니케이션북스,2025년 08월,12000,12000,4,"1,179",N/A,"AI는 의미를 이해하지 못한다. 하지만 인간은 설계를 통해 의미 있는 결과를 끌어낼 수 있다. 프롬프트를 단순한 지시가 아닌 ‘의미의 설계’로 재정의하며, 역할, 맥락, 목적을 담은 PMD 방법론을 제시한다. AI 시...",https://www.yes24.com/product/goods/150157101
월 20달러로 고용하는 데이터 분석가 with 챗GPT,"테리엇, Bob Lee",한빛미디어,2024년 10월,30000,27000,17,"1,704",N/A,"시장 조사, 고객 분석, 매출 예측, 보고서를 한 번에코드 한 줄, 수식 계산 없이 기초 통계부터 고급 데이터 분석까지!이 책은 데이터 분석을 경험해 본 적이 없는 사람 또는 데이터 분석에 AI를 적용하려는 사람을 ...",https://www.yes24.com/product/goods/135973008
초소형 머신러닝 TinyML,"피트 워든, 대니얼 시투나야케 /맹윤호, 임지순 역",한빛미디어,2020년 08월,40000,36000,18,612,N/A,텐서플로 라이트를 활용한 마이크로컨트롤러 머신러닝 AI 음성비서 서비스를 만드는 구글 어시스턴트 팀은 불과 14KB짜리 모델을 사용해 “OK 구글”이란 말을 인식한다. 이는 마이크로컨트롤러에도 탑재 가능한 용...,https://www.yes24.com/product/goods/91879171
초보자를 위한 ChatGPT 활용법,"정하영, 이도현",지식과감성#,2024년 11월,20000,18000,8,"2,940",N/A,"“오늘날 우리는 디지털 혁신의 한가운데에 서 있습니다. 인공지능(AI)은 더 이상 미래의 기술이 아닌, 우리의 일상과 업무를 혁신하고 있는 현재의 기술입니다. 그중에서도 OpenAI에서 출시한 ChatGPT는 생성형 AI ...",https://www.yes24.com/product/goods/139612101
비즈니스 애널리틱스를 위한 데이터 마이닝 in 파이썬,"갈리트 시뮤엘리, Peter C. Bruce, 피터 게데크, Nitin R. Patel /조성준 역 외 5명
                                        
정보 더 보기/감추기



갈리트 시뮤엘리
Peter C. Bruce
피터 게데크
Nitin R. Patel
조성준
조재희
조성배
이성임
신현정
김성범",한빛아카데미,2023년 02월,39000,39000,0,462,N/A,"데이터 마이닝의 개념, 기법, 응용다양한 분석 기법이 존재하는 이유는 각 분석 기법마다 장단점이 있기 때문이다. 데이터를 분석하는 목적, 데이터의 양·유형·노이즈 등에 따라 적합한 분석 기법이 달라진다. 이 책...",https://www.yes24.com/product/goods/117337195
시간순삭 인공지능 with 스크래치,이재우,생능북스,2022년 12월,24000,21600,0,420,N/A,인공지능의 시대를 맞아 누구나 인공지능에 대해 알고 이해하는 시대가 되었다. 이해하기 어려웠던 인공지능의 이론과 개념들을 초/중등학생을 포함하여 누구나 이해할 수 있게 쉽고 재미있게 풀어낸 책이다. 특히 ...,https://www.yes24.com/product/goods/116038013
마이크로비트 IoT 사물인터넷 정복,이연곤,앤써북,2022년 08월,18800,16920,10,444,N/A,"『마이크로비트 IoT 사물인터넷 정복』 책은 초보자 눈높이에 맞춘 라디오부터 블루투스, WiFi 통신까지 마이크로비트 사물인터넷의 거의 모든 내용과 실습을 담은 IoT 사물인터넷, 인공지능 학습 입문서이다!",https://www.yes24.com/product/goods/111421642
파이썬으로 시작하는 머신러닝+딥러닝,강지영,아이리포,2022년 05월,22000,19800,0,342,N/A,"이 책에서는 우리가 흔히 머신러닝, 딥러닝이라고 부르는 데이터 분석 모델에 대해서 학습한다. 그리고 데이터 분석 모델을 만드는데 사용하는 대표적인 파이썬 프레임워크인 사이킷런(sklearn), 텐서플로우(TensorF...",https://www.yes24.com/product/goods/109307433
아두이노로 만드는 스마트 자동차,장문철,먼슬리북스,2025년 03월,23500,21150,5,288,N/A,『아두이노 RC 자동차 자율주행 프로젝트』“처음 배우는 아두이노부터 자율주행 RC 자동차 제작까지!”이 책은 아두이노를 처음 접하는 입문자부터 실제 작동하는 자율주행 RC 자동차를 만들고자 하는 메이커까지를...,https://www.yes24.com/product/goods/144132428
AI 스포츠 미디어,석원,커뮤니케이션북스,2025년 02월,12000,12000,0,246,N/A,"스포츠는 미디어 기술 발전의 핵심 동력으로, TV에서 OTT로 변화하며 AI 기반 판정 기술과 데이터 분석까지 활용 영역을 넓혀 왔다. 인간의 감정과 서사를 담는 스포츠 미디어는 AI와 결합해 미래로 나아가고 있다.",https://www.yes24.com/product/goods/142870051
생성형 AI와 저작권법,김윤명,커뮤니케이션북스,2025년 07월,12000,12000,0,156,N/A,"AI가 만든 콘텐츠의 저작권은 누구의 것인가? 프롬프트 입력부터 결과물의 권리까지, 새로운 창작 시대에 법과 윤리가 어떻게 대응해야 할지를 깊이 있게 탐구한다. 인공지능총서. aiseries.oopy.io에서 필요한 인공...",https://www.yes24.com/product/goods/148412679
Amazon Bedrock으로 시작하는 실전 생성형 AI 개발,"임지훈, 최성우",디지털북스,2025년 01월,22000,19800,8,"2,352",N/A,"AI 경험이 없는 개발자나 엔지니어들도 AI를 만들고 활용할 수 있는국내 최초의 Amazon Bedrock 활용 가이드북아마존 베드록(Amazon Bedrock)은 AWS에서 제공하는 생성형 AI 서비스로, 사용자가 쉽게 AI 모델을 구축...",https://www.yes24.com/product/goods/140049541
AI와 물 관리,김성훈,커뮤니케이션북스,2025년 04월,12000,12000,0,192,N/A,"AI는 기후 위기와 물 문제 해결에 중요한 역할을 한다. 수자원 관측, 예측, 관리에 AI가 어떻게 활용되는지를 다양한 사례와 함께 설명하며, 지속 가능한 물 관리의 미래를 제시한다.",https://www.yes24.com/product/goods/145439297
AI 주권과 지속 가능한 공공 파운데이션 모델,윤창희,커뮤니케이션북스,2025년 09월,12000,12000,1,108,N/A,"AI 시대에 공공이 규제자·촉진자·선도자로서 수행해야 할 책무를 짚는다. 국제 동향과 한국 사례를 통해, 기술 주권과 공익을 조화시키는 지속 가능한 AI 전략을 제시한다. 인공지능총서. aiseries.oopy.io에서 필요...",https://www.yes24.com/product/goods/152310440
생성형 AI와 인간 예술가,서은선,커뮤니케이션북스,2025년 09월,12000,12000,0,150,N/A,인간과 AI의 협업이 창작의 의미를 어떻게 바꾸는지 탐구한다. 다양한 예술 현장의 사례와 윤리적 쟁점을 통해 기술과 예술이 함께 열어 갈 새로운 미학의 가능성을 제시한다. 인공지능총서. aiseries.oopy.io에서 ...,https://www.yes24.com/product/goods/152307434
AI 번역과 인간 번역,고선정,커뮤니케이션북스,2025년 08월,12000,12000,0,150,N/A,"AI 번역의 급진적 진보 속에서 인간 번역사는 어떤 존재인가? 번역 기술의 발전과 그 파급력을 분석하며, 인간 번역의 의미와 전문성을 되짚는다. 기술과 공존하는 새로운 번역의 미래를 제시한다. 인공지능총서. ai...",https://www.yes24.com/product/goods/149866401
생성형 AI 중심 비즈니스,"권오병, 이남연, 손권상, 최상호, 권성준  외 3명
                                        
정보 더 보기/감추기



권오병
이남연
손권상
최상호
권성준
최륜희
권상지
박예린",커뮤니케이션북스,2025년 07월,12000,12000,0,108,N/A,대규모 언어 모델부터 T2V 기술까지 최신 생성형 AI 기술과 비즈니스 전략을 포괄적으로 해설한다. 생성형 AI가 비즈니스의 주도권을 어떻게 재편하는지 구체적으로 보여 준다. 인공지능총서. aiseries.oopy.io에서 ...,https://www.yes24.com/product/goods/149374575
AI와 자기 결정,이희옥,커뮤니케이션북스,2025년 09월,12000,12000,1,78,N/A,"AI는 인간의 결정을 대신할 만큼 진화하고 있다. 헌법적 권리로서 자기 결정의 의미를 재정립하며, 인공지능 시대 인간이 주체로 존중받기 위한 법적·철학적 논의를 전개한다. 존엄을 지키는 자기 결정을 위한 성찰...",https://www.yes24.com/product/goods/153294907
AI와 창의적 광고 아이데이션,이구익,커뮤니케이션북스,2025년 09월,12000,12000,0,126,N/A,전통적 아이디어 발상법과 AI의 융합이 어떻게 창의적 광고를 혁신하는지 다룬다. 브레인스토밍부터 하이 콘셉트까지 AI는 아이디어 파트너로 인간의 사고를 확장하며 광고 아이데이션의 새로운 길을 연다. 인공지능...,https://www.yes24.com/product/goods/153294887
OmaLi’s MidJourney AI Artbook Flower Edition,오마리,BOOKK(부크크),2025년 08월,12900,12900,0,66,N/A,『OmaLi’s MidJourney AI Artbook - Flower Edition』은 MidJourney의 최신 스타일 참조 기능을 활용하여 오직 한 사람의 미감으로 탄생한 AI 아트북이다. 전통 회화를 전공한 작가 OMALI가 직접 그린 스케치와 수...,https://www.yes24.com/product/goods/152813453
AI와 1인 영화 제작,"이호은, 이형주",커뮤니케이션북스,2025년 09월,12000,12000,0,126,N/A,"거대한 스튜디오의 전유물이던 영화를 개인 창작자가 구현할 수 있게 된 변화를 다룬다. AI 도구의 활용법과 윤리적 과제, 새로운 스토리텔링 가능성을 제시하며 영화 제작의 미래를 탐색한다. 인공지능총서. aiseri...",https://www.yes24.com/product/goods/152579264
만들면서 배우는 40개의 엔트리 게임 + 인공지능 게임,"전진아, 김수연",앤써북,2024년 09월,21000,18900,6,"3,960",N/A,N/A,https://www.yes24.com/product/goods/134637039
"AI생활, 매순간이 달라진다",김경진,인문공간,2025년 01월,23000,20700,3,"1,254",N/A,"AI(인공지능), 일상을 바꾸는 필수품외국어 번역과 논문 및 글쓰기부터… 이력서 작성, 수학문제 풀이, 이력서 작성까지일상 생활의 편리함, 모든 시뮬레이션 가능하다 『AI생활, 매순간이 달라진다 : 김경진의 AI생...",https://www.yes24.com/product/goods/140245234
AI와 똑똑한 탐색법,조명대,커뮤니케이션북스,2025년 09월,12000,12000,0,126,N/A,"검색어가 아닌 질문으로 사고를 확장하는 길을 제시한다. AI를 단순 도구가 아니라 사유 파트너로 삼아, 깊이 있는 탐색과 창의적 대화를 가능케 한다. 인공지능총서. aiseries.oopy.io에서 필요한 인공지능 지식을 ...",https://www.yes24.com/product/goods/153534852
AI 코딩 어시스턴트 깃허브 코파일럿 제대로 활용하기,"레오 포터, 다니엘 진가로 /김연지 역",위키북스,2024년 05월,28000,25200,2,"1,140",N/A,무한한 잠재력을 지닌 AI 지원 코딩 도구를 사용해 효율적으로 코딩하세요!컴퓨터 프로그램을 작성하는 방식이 완전히 바뀌었다. 깃허브 코파일럿(GitHub Copilot)은 사람의 말로 프로그램이 수행하기를 원하는 작업...,https://www.yes24.com/product/goods/126516854
프롬프트 엔지니어링,반병현,생능북스,2023년 10월,25000,22500,22,"1,254",N/A,"챗GPT 베스트셀러 작가이자 인공지능 전문가가 쓴 프롬프트 엔지니어링의 모든 것프롬프트 엔지니어링은 챗GPT, 바드, 빙, 하이퍼클로바X 등 대화형 인공지능의 원리를 이해하여 훨씬 더 좋은 답변을 이끌어 내기 위...",https://www.yes24.com/product/goods/122661870
"스토리텔링 생성형 AI, 엔트리 인공지능을 만나다","송해남, 김태령, 서정원, 박기림, 김혜진, 유영재 공",광문각출판미디어,2024년 11월,19000,19000,19,"1,515",N/A,"“우리는 이제 생성형 AI를 사용할 수 있어야 합니다. 정확히 말하면, 생성형 AI를 이용하여 또 다른 창작품을 인류사 위에 얹을 수 있어야 합니다. 나의 수학적 능력 개발을 위해 손으로 종이 위에 수학 문제를 풀...",https://www.yes24.com/product/goods/138337634
챗GPT 프롬프트 엔지니어링 : 비즈니스 마케팅 편,"민진홍, 정수필",성안당,2024년 09월,25000,22500,56,"2,214",N/A,"2024년 최대 마케팅 트렌드인 ‘호모 프롬프트(Homo Prompt), 즉 ‘AI와 소통하면서 인공지능 서비스를 적재적소에 사용할 수 있는 사람’이 하는 최고의 프롬프트 엔지니어링, 비즈니스 마케팅 편이 나왔다. 23년 ...",https://www.yes24.com/product/goods/133279006
AI·디지털 문화유산과 떠나는 역사 여행,"디지털문화유산교육연구회, 김수진, 오송이, 윤혜정, 이수진  외 2명
                                        
정보 더 보기/감추기



디지털문화유산교육연구회
김수진
오송이
윤혜정
이수진
임효진
조영훈",폭스에듀,2024년 10월,20000,18000,2,"1,458",N/A,"""AI·디지털 문화유산과 떠나는 역사 여행""은 AI와 디지털 기술을 통해 우리 문화유산을 배우고 미래 교육을 위한 AI 기술 역량을 키우는 교재다. 2022 개정 교육과정에 맞춰 개발되었으며, AI와 디지털 교육에 관심 ...",https://www.yes24.com/product/goods/136351506
트랜스포머로 시작하는 언어 모델과 생성형 인공지능,추형석,위즈앤북,2025년 01월,17800,16020,4,822,N/A,"트랜스포머로 시작하는 사전 학습 언어 모델, 거대 언어 모델, 소형 거대 언어 모델을 분석!ChatGPT 이후 급격하게 변화된 인공지능 기술을 상세히 분석!OpenAI와 대결하는 거대 테크 기업간의 다양한 언어 모델을 ...",https://www.yes24.com/product/goods/141383909
"챗GPT 시대 교육, AI로 풀다","노명호, 지미정, 오한나, 윤신영, 윤주현  외 6명
                                        
정보 더 보기/감추기



노명호
지미정
오한나
윤신영
윤주현
오미숙
장희영
표완구
김봉한
소민영
장덕진",BOOKK(부크크),2023년 05월,15000,15000,11,"1,410",N/A,"수업과 업무, 자기계발 그 모든 것을 가능하게 해주는 단 한권의 책. 구글 공인 혁신가, 코치, 트레이너인 11명의 현장 교육 전문가들이 교육의 고민을 해결하기 위해 모였습니다. 이 책은 교육 현장에서의 목소리가...",https://www.yes24.com/product/goods/119266591
